,zipcode,mean,count(distinct camis),country
0,10001,8.6974459725,509,US
1,10451,8.78343949045,157,US
2,10452,8.84158415842,101,US
3,10004,8.99295774648,142,US
4,10007,9.23021582734,139,US
5,11236,9.24324324324,111,US
6,11234,9.39473684211,152,US
7,11430,9.49324324324,148,US
8,11207,9.625,136,US
9,11209,9.6553030303,264,US
10,11231,9.66037735849,159,US
11,11238,9.66260162602,246,US
12,11217,9.68897637795,254,US
13,10472,9.74074074074,108,US
14,10306,9.74774774775,111,US
15,11101,9.752,250,US
16,11218,9.80272108844,147,US
17,11201,9.81739130435,345,US
18,11369,9.82692307692,104,US
19,10301,9.95145631068,103,US
20,10468,9.96261682243,107,US
21,10065,9.97687861272,173,US
22,10461,9.98701298701,154,US
23,11222,9.99481865285,193,US
24,11368,10.0448275862,290,US
25,10023,10.0710659898,197,US
26,11105,10.1138211382,123,US
27,11225,10.1782178218,101,US
28,11237,10.2346368715,179,US
29,11361,10.2857142857,119,US
30,10458,10.2908163265,196,US
31,10019,10.3151515152,660,US
32,10462,10.3243243243,148,US
33,11103,10.3636363636,209,US
34,10467,10.4201183432,169,US
35,11206,10.4415584416,154,US
36,10022,10.4713114754,488,US
37,10036,10.5143338954,593,US
38,11435,10.5283018868,106,US
39,11385,10.623015873,252,US
40,11215,10.6505376344,372,US
41,11204,10.674796748,123,US
42,11106,10.6794871795,156,US
43,10011,10.6846652268,463,US
44,10038,10.6904761905,168,US
45,10027,10.6993865031,163,US
46,10463,10.703125,128,US
47,10010,10.7845528455,246,US
48,10017,10.7978723404,376,US
49,11358,10.8321678322,143,US
50,11221,10.8918918919,111,US
51,10002,10.8966244726,474,US
52,10028,10.8971962617,214,US
53,11432,10.914893617,188,US
54,10025,10.9451476793,237,US
55,11373,10.9733333333,225,US
56,10009,10.983974359,312,US
57,11232,11.0188679245,106,US
58,10003,11.0355555556,675,US
59,10024,11.0742574257,202,US
60,11219,11.0857142857,105,US
61,10034,11.1037735849,106,US
62,10013,11.1104166667,480,US
63,10014,11.1176470588,408,US
64,10012,11.1243781095,402,US
65,10016,11.2198067633,414,US
66,11375,11.2244897959,196,US
67,10314,11.2486486486,185,US
68,11203,11.2695035461,141,US
69,11226,11.2736318408,201,US
70,11223,11.2972972973,185,US
71,11249,11.3483870968,155,US
72,10029,11.3502538071,197,US
73,11211,11.3753424658,365,US
74,11214,11.3777777778,180,US
75,11230,11.4215686275,102,US
76,10018,11.4714714715,333,US
77,11216,11.5060240964,166,US
78,11208,11.5086206897,116,US
79,11205,11.8482758621,145,US
80,11372,11.9561128527,319,US
81,11354,11.9833795014,361,US
82,10021,12.0328947368,152,US
83,11229,12.0563380282,142,US
84,10128,12.1194968553,159,US
85,11220,12.2113564669,317,US
86,11377,12.308411215,214,US
87,11235,12.3522727273,176,US
88,10033,12.3666666667,120,US
89,11104,12.3771929825,114,US
90,10032,12.5299145299,117,US
91,11355,13.2233502538,197,US
